date,home_team,away_team,result,b365_1,b365_x,b365_2
2024-12-13,Empoli,Torino,2,2.7,2.88,3.0
2024-12-14,Cagliari,Atalanta,2,5.5,4.33,1.55
2024-12-14,Udinese,Napoli,2,5.25,3.5,1.73
2024-12-14,Juventus,Venezia,X,1.3,5.25,9.0
2024-12-15,Lecce,Monza,1,2.45,3.0,3.2
2024-12-15,Bologna,Fiorentina,1,2.7,3.1,2.75
2024-12-15,Parma,Verona,2,1.85,3.75,4.0
2024-12-15,Como,Roma,1,3.25,3.4,2.2
2024-12-15,Milan,Genoa,X,1.33,5.25,8.0
2024-12-16,Lazio,Inter,2,3.6,3.4,2.1
2024-12-20,Verona,Milan,2,5.5,4.1,1.57
2024-12-21,Torino,Bologna,2,3.3,2.9,2.45
2024-12-21,Genoa,Napoli,2,5.25,3.6,1.7
2024-12-21,Lecce,Lazio,2,5.0,3.6,1.73
2024-12-22,Roma,Parma,1,1.53,4.2,6.25
2024-12-22,Venezia,Cagliari,1,2.5,3.3,2.88
2024-12-22,Atalanta,Empoli,1,1.29,5.5,11.0
2024-12-22,Monza,Juventus,2,6.25,3.5,1.65
2024-12-23,Fiorentina,Udinese,2,1.6,3.8,6.0
2024-12-23,Inter,Como,1,1.2,6.5,15.0
2024-12-28,Empoli,Genoa,2,2.55,2.9,3.1
2024-12-28,Parma,Monza,1,2.3,3.5,3.0
2024-12-28,Cagliari,Inter,2,6.5,4.75,1.44
2024-12-28,Lazio,Atalanta,X,3.0,3.3,2.4
2024-12-29,Udinese,Torino,X,2.25,3.1,3.5
2024-12-29,Napoli,Venezia,1,1.27,5.5,11.0
2024-12-29,Juventus,Fiorentina,X,1.95,3.3,4.2
2024-12-29,Milan,Roma,X,2.25,3.4,3.2
2024-12-30,Como,Lecce,1,1.7,3.7,5.0
2024-12-30,Bologna,Verona,2,1.5,4.1,7.0
2025-01-04,Venezia,Empoli,X,2.3,3.1,3.4
2025-01-04,Fiorentina,Napoli,2,2.88,3.25,2.55
2025-01-04,Verona,Udinese,X,3.0,3.0,2.55
2025-01-05,Monza,Cagliari,2,2.4,3.25,3.0
2025-01-05,Lecce,Genoa,X,2.63,3.0,2.9
2025-01-05,Torino,Parma,X,1.85,3.4,4.5
2025-01-05,Roma,Lazio,1,2.55,3.1,3.0
2025-01-10,Lazio,Como,X,1.9,3.4,4.2
2025-01-11,Empoli,Lecce,2,2.0,3.1,4.33
2025-01-11,Udinese,Atalanta,X,5.25,3.8,1.65
2025-01-11,Torino,Juventus,X,5.0,3.2,1.8
2025-01-11,Milan,Cagliari,X,1.33,5.0,9.5
2025-01-12,Genoa,Parma,1,1.91,3.5,4.0
2025-01-12,Venezia,Inter,2,11.0,5.25,1.29
2025-01-12,Bologna,Roma,X,2.8,3.2,2.6
2025-01-12,Napoli,Verona,1,1.25,5.5,13.0
2025-01-13,Monza,Fiorentina,1,4.2,3.5,1.85
2025-01-14,Como,Milan,2,4.2,3.5,1.9
2025-01-14,Atalanta,Juventus,X,2.1,3.25,3.7
2025-01-15,Inter,Bologna,X,1.48,4.2,7.0
2025-01-17,Roma,Genoa,1,1.5,4.1,6.5
2025-01-18,Bologna,Monza,1,1.6,3.75,6.0
2025-01-18,Juventus,Milan,1,2.15,3.3,3.4
2025-01-18,Atalanta,Napoli,2,2.25,3.25,3.25
2025-01-19,Fiorentina,Torino,X,1.73,3.4,5.5
2025-01-19,Cagliari,Lecce,1,1.95,3.3,4.1
2025-01-19,Parma,Venezia,X,2.15,3.7,3.1
2025-01-19,Verona,Lazio,2,5.0,3.5,1.75
2025-01-19,Inter,Empoli,1,1.25,5.75,13.0
2025-01-20,Como,Udinese,1,2.15,3.4,3.4
2025-01-24,Torino,Cagliari,1,2.2,3.2,3.6
2025-01-25,Como,Atalanta,2,4.2,3.6,1.85
2025-01-25,Napoli,Juventus,1,2.15,3.1,3.8
2025-01-25,Empoli,Bologna,X,3.8,3.3,2.0
2025-01-26,Milan,Parma,1,1.3,6.0,8.5
2025-01-26,Udinese,Roma,2,3.3,3.3,2.25
2025-01-26,Lecce,Inter,2,9.5,5.25,1.33
2025-01-26,Lazio,Fiorentina,2,2.0,3.5,3.8
