date,home_team,away_team,b365_h,b365_x,b365_a
2023-12-22,Monza,Fiorentina,2.88,3.2,2.55
2023-12-22,Salernitana,Milan,8.0,4.5,1.44
2023-12-23,Frosinone,Juventus,6.0,3.75,1.62
2023-12-23,Bologna,Atalanta,2.7,3.2,2.75
2023-12-23,Torino,Udinese,1.75,3.5,5.0
2023-12-23,Inter,Lecce,1.22,7.0,11.0
2023-12-23,Verona,Cagliari,2.38,3.25,3.1
2023-12-23,Roma,Napoli,3.0,3.1,2.5
2023-12-29,Fiorentina,Torino,2.1,3.2,3.6
2023-12-29,Napoli,Monza,1.62,4.0,5.5
2023-12-29,Genoa,Inter,5.5,3.8,1.65
2023-12-29,Lazio,Frosinone,1.67,3.8,5.25
2023-12-30,Atalanta,Lecce,1.4,4.6,8.0
2023-12-30,Cagliari,Empoli,2.05,3.4,3.6
2023-12-30,Udinese,Bologna,3.5,3.1,2.25
2023-12-30,Milan,Sassuolo,1.45,4.75,6.5
2023-12-30,Verona,Salernitana,1.91,3.4,4.2
2023-12-30,Juventus,Roma,2.05,3.0,4.2
2024-01-05,Bologna,Genoa,2.05,3.0,4.33
2024-01-06,Inter,Verona,1.17,8.0,13.0
2024-01-06,Frosinone,Monza,2.63,3.3,2.7
2024-01-06,Lecce,Cagliari,2.2,3.25,3.4
2024-01-06,Sassuolo,Fiorentina,3.25,3.5,2.15
2024-01-07,Empoli,Milan,5.25,3.8,1.67
2024-01-07,Torino,Napoli,2.9,3.2,2.5
2024-01-07,Udinese,Lazio,3.5,3.2,2.2
2024-01-07,Salernitana,Juventus,7.5,4.5,1.4
2024-01-07,Roma,Atalanta,2.4,3.2,3.1
2024-01-13,Genoa,Torino,2.9,3.0,2.63
2024-01-13,Napoli,Salernitana,1.33,5.0,8.5
2024-01-13,Verona,Empoli,2.15,3.25,3.5
2024-01-13,Monza,Inter,7.0,4.0,1.5
2024-01-14,Lazio,Lecce,1.65,3.6,5.75
2024-01-14,Cagliari,Bologna,3.0,3.1,2.5
2024-01-14,Fiorentina,Udinese,1.67,3.75,5.5
2024-01-14,Milan,Roma,2.2,3.2,3.5
2024-01-15,Atalanta,Frosinone,1.44,4.5,7.5
2024-01-16,Juventus,Sassuolo,1.4,4.2,8.5
2024-01-20,Roma,Verona,1.44,4.2,8.5
2024-01-20,Udinese,Milan,4.0,3.8,1.85
2024-01-21,Frosinone,Cagliari,2.4,3.4,2.9
2024-01-21,Empoli,Monza,2.8,3.3,2.55
2024-01-21,Salernitana,Genoa,3.6,3.2,2.15
2024-01-21,Lecce,Juventus,6.0,3.5,1.65
2024-01-26,Cagliari,Torino,3.5,3.2,2.2
2024-01-27,Atalanta,Udinese,1.5,4.5,6.0
2024-01-27,Juventus,Empoli,1.29,5.5,10.0
2024-01-27,Milan,Bologna,1.67,3.75,5.25
2024-01-28,Genoa,Lecce,2.1,3.1,4.0
2024-01-28,Monza,Sassuolo,2.25,3.4,3.2
2024-01-28,Verona,Frosinone,2.45,3.3,2.9
2024-01-28,Lazio,Napoli,2.25,3.3,3.3
2024-01-28,Fiorentina,Inter,4.2,3.6,1.85
2024-01-29,Salernitana,Roma,5.25,3.8,1.67
2024-02-02,Lecce,Fiorentina,3.75,3.2,2.1
2024-02-03,Empoli,Genoa,3.0,3.0,2.6
2024-02-03,Udinese,Monza,2.25,3.3,3.3
2024-02-03,Frosinone,Milan,5.0,4.2,1.62
2024-02-03,Bologna,Sassuolo,1.7,3.75,5.0
2024-02-04,Torino,Salernitana,1.5,4.0,7.5
2024-02-04,Napoli,Verona,1.4,4.5,8.5
2024-02-04,Atalanta,Lazio,2.05,3.4,3.75
2024-02-04,Inter,Juventus,1.8,3.5,4.75
2024-02-05,Roma,Cagliari,1.44,4.33,7.5
