date,home_team,away_team,result,home_goals,away_goals,b365_1,b365_x,b365_2
2023-12-04,Torino,Atalanta,H,3,0,2.9,3.2,2.45
2023-12-08,Juventus,Napoli,H,1,0,2.25,3.25,3.25
2023-12-09,Verona,Lazio,D,1,1,4.2,3.4,1.95
2023-12-09,Atalanta,Milan,H,3,2,2.5,3.2,3.0
2023-12-09,Inter,Udinese,H,4,0,1.29,6.5,9.0
2023-12-10,Frosinone,Torino,D,0,0,3.4,3.2,2.25
2023-12-10,Monza,Genoa,H,1,0,2.15,3.1,3.75
2023-12-10,Salernitana,Bologna,A,1,2,3.75,3.3,2.05
2023-12-10,Roma,Fiorentina,D,1,1,2.1,3.3,3.5
2023-12-11,Empoli,Lecce,D,1,1,2.55,3.2,3.0
2023-12-11,Cagliari,Sassuolo,H,2,1,2.3,3.5,3.0
2023-12-15,Genoa,Juventus,D,1,1,4.75,3.2,1.91
2023-12-16,Lecce,Frosinone,H,2,1,2.15,3.3,3.5
2023-12-16,Napoli,Cagliari,H,2,1,1.33,5.0,9.5
2023-12-16,Torino,Empoli,H,1,0,1.6,3.8,6.0
2023-12-17,Milan,Monza,H,3,0,1.62,4.33,5.0
2023-12-17,Fiorentina,Verona,H,1,0,1.4,5.0,7.0
2023-12-17,Udinese,Sassuolo,D,2,2,2.25,3.5,3.1
2023-12-17,Bologna,Roma,H,2,0,2.38,3.0,3.25
2023-12-17,Lazio,Inter,A,0,2,4.75,3.8,1.73
2023-12-18,Atalanta,Salernitana,H,4,1,1.3,5.5,10.0
2023-12-22,Empoli,Lazio,A,0,2,4.2,3.4,1.91
2023-12-22,Sassuolo,Genoa,A,1,2,2.25,3.3,3.25
2023-12-22,Monza,Fiorentina,A,0,1,2.88,3.2,2.55
2023-12-22,Salernitana,Milan,D,2,2,8.0,4.5,1.44
2023-12-23,Frosinone,Juventus,A,1,2,6.0,3.75,1.62
2023-12-23,Bologna,Atalanta,H,1,0,2.7,3.2,2.75
2023-12-23,Torino,Udinese,D,1,1,1.75,3.5,5.0
2023-12-23,Inter,Lecce,H,2,0,1.22,7.0,11.0
2023-12-23,Verona,Cagliari,H,2,0,2.38,3.25,3.1
2023-12-23,Roma,Napoli,H,2,0,3.0,3.1,2.5
2023-12-29,Fiorentina,Torino,H,1,0,2.1,3.2,3.6
2023-12-29,Napoli,Monza,D,0,0,1.62,4.0,5.5
2023-12-29,Genoa,Inter,D,1,1,5.5,3.8,1.65
2023-12-29,Lazio,Frosinone,H,3,1,1.67,3.8,5.25
2023-12-30,Atalanta,Lecce,H,1,0,1.4,4.6,8.0
2023-12-30,Cagliari,Empoli,D,0,0,2.05,3.4,3.6
2023-12-30,Udinese,Bologna,H,3,0,3.5,3.1,2.25
2023-12-30,Milan,Sassuolo,H,1,0,1.45,4.75,6.5
2023-12-30,Verona,Salernitana,A,0,1,1.91,3.4,4.2
2023-12-30,Juventus,Roma,H,1,0,2.05,3.0,4.2
2024-01-05,Bologna,Genoa,D,1,1,2.05,3.0,4.33
2024-01-06,Inter,Verona,H,2,1,1.17,8.0,13.0
2024-01-06,Frosinone,Monza,A,2,3,2.63,3.3,2.7
2024-01-06,Lecce,Cagliari,D,1,1,2.2,3.25,3.4
2024-01-06,Sassuolo,Fiorentina,H,1,0,3.25,3.5,2.15
2024-01-07,Empoli,Milan,A,0,3,5.25,3.8,1.67
2024-01-07,Torino,Napoli,H,3,0,2.9,3.2,2.5
2024-01-07,Udinese,Lazio,A,1,2,3.5,3.2,2.2
2024-01-07,Salernitana,Juventus,A,1,2,7.5,4.5,1.4
2024-01-07,Roma,Atalanta,D,1,1,2.4,3.2,3.1
2024-01-13,Genoa,Torino,D,0,0,2.9,3.0,2.63
2024-01-13,Napoli,Salernitana,H,2,1,1.33,5.0,8.5
2024-01-13,Verona,Empoli,H,2,1,2.15,3.25,3.5
2024-01-13,Monza,Inter,A,1,5,7.0,4.0,1.5
2024-01-14,Lazio,Lecce,H,1,0,1.65,3.6,5.75
2024-01-14,Cagliari,Bologna,H,2,1,3.0,3.1,2.5
2024-01-14,Fiorentina,Udinese,D,2,2,1.67,3.75,5.5
2024-01-14,Milan,Roma,H,3,1,2.2,3.2,3.5
2024-01-15,Atalanta,Frosinone,H,5,0,1.44,4.5,7.5
2024-01-16,Juventus,Sassuolo,H,3,0,1.4,4.2,8.5
2024-01-20,Roma,Verona,H,2,1,1.44,4.2,8.5
2024-01-20,Udinese,Milan,A,2,3,4.0,3.8,1.85
2024-01-21,Frosinone,Cagliari,H,3,1,2.4,3.4,2.9
2024-01-21,Empoli,Monza,H,3,0,2.8,3.3,2.55
2024-01-21,Salernitana,Genoa,A,1,2,3.6,3.2,2.15
2024-01-21,Lecce,Juventus,A,0,3,6.0,3.5,1.65
2024-01-26,Cagliari,Torino,A,1,2,3.5,3.2,2.2
2024-01-27,Atalanta,Udinese,H,2,0,1.5,4.5,6.0
2024-01-27,Juventus,Empoli,D,1,1,1.29,5.5,10.0
2024-01-27,Milan,Bologna,D,2,2,1.67,3.75,5.25
2024-01-28,Genoa,Lecce,H,2,1,2.1,3.1,4.0
